"satisfaction_level" "last_evaluation" "number_project" "average_montly_hours" "time_spend_company" "Work_accident" "left" "promotion_last_5years" "sales" "salary"
0.68 0.87 3 168 3 0 0 0 "IT" "medium"
0.89 0.58 3 167 3 0 0 0 "support" "medium"
0.22 0.62 3 180 3 0 0 0 "support" "low"
0.8 0.8 3 175 2 0 0 0 "RandD" "medium"
0.44 0.66 6 134 8 0 0 0 "RandD" "high"
0.84 0.36 6 256 5 0 0 0 "sales" "low"
0.8 0.64 5 180 2 0 0 0 "support" "low"
0.89 0.94 5 223 3 0 0 0 "sales" "medium"
0.74 0.74 5 160 3 1 0 0 "sales" "high"
0.52 0.43 3 176 3 0 0 0 "support" "low"
0.48 0.89 3 224 3 0 0 0 "sales" "low"
0.11 0.8 6 256 4 0 1 0 "IT" "low"
0.95 0.84 3 270 3 1 0 1 "sales" "medium"
0.84 0.63 3 121 3 1 0 0 "sales" "low"
0.49 0.6 3 191 3 1 0 0 "RandD" "high"
0.44 0.54 2 151 3 0 1 0 "management" "low"
0.99 0.92 5 174 5 0 0 0 "accounting" "medium"
0.75 0.76 3 269 2 1 0 0 "technical" "medium"
0.5 0.97 2 252 4 0 0 0 "management" "medium"
0.67 0.84 4 224 3 0 0 0 "support" "low"
0.91 0.84 5 265 5 0 1 0 "technical" "medium"
0.69 0.9 5 231 2 1 0 0 "support" "low"
0.97 0.54 3 154 8 1 0 0 "sales" "medium"
0.77 1 4 232 5 0 1 0 "technical" "medium"
0.44 0.45 2 132 3 0 1 0 "sales" "low"
0.48 0.77 5 250 2 0 0 1 "RandD" "medium"
0.14 0.49 4 115 4 0 0 0 "support" "medium"
0.64 0.67 3 165 3 0 0 0 "sales" "low"
0.94 0.69 3 269 3 0 0 0 "sales" "low"
0.69 0.89 2 202 2 0 0 0 "IT" "medium"
0.11 0.87 6 257 4 0 1 0 "support" "medium"
0.81 0.53 4 242 3 0 0 0 "support" "medium"
0.68 0.65 3 173 3 1 0 0 "marketing" "high"
0.34 0.81 3 257 5 0 0 0 "accounting" "low"
0.69 0.82 3 262 5 1 0 0 "IT" "medium"
0.52 0.57 3 150 3 0 0 0 "sales" "low"
0.58 0.76 5 260 2 1 0 0 "technical" "low"
0.82 0.56 5 180 3 0 0 0 "technical" "low"
0.6 0.57 3 202 3 0 0 0 "support" "low"
0.59 0.51 3 156 3 0 0 0 "product_mng" "medium"
0.55 0.88 3 173 3 1 0 0 "technical" "low"
0.73 0.44 2 194 6 0 0 0 "hr" "medium"
0.66 1 5 145 2 0 0 0 "sales" "low"
0.42 0.53 2 142 3 0 1 0 "sales" "low"
0.85 0.54 3 185 10 0 0 1 "management" "high"
0.86 0.74 4 261 2 0 0 0 "IT" "medium"
0.37 0.46 2 153 3 0 1 0 "sales" "low"
0.85 0.75 3 214 3 0 0 0 "support" "medium"
0.52 0.58 3 203 2 0 0 0 "RandD" "medium"
0.95 0.9 3 186 2 0 0 0 "marketing" "low"
0.59 0.81 4 200 2 0 0 0 "support" "low"
0.38 0.51 2 120 3 0 0 0 "RandD" "low"
0.51 0.54 4 166 4 1 0 0 "sales" "low"
0.93 0.54 4 239 2 0 0 0 "technical" "medium"
0.58 0.88 3 157 4 0 0 1 "technical" "low"
1 0.41 4 174 3 0 0 0 "technical" "low"
0.38 0.48 2 134 3 0 1 0 "hr" "low"
0.66 0.77 4 188 2 0 0 0 "technical" "low"
0.71 0.51 4 202 3 0 0 0 "IT" "medium"
0.95 0.9 4 221 10 1 0 0 "management" "high"
0.66 0.95 3 191 3 0 0 0 "technical" "medium"
0.65 0.84 3 189 2 1 0 0 "support" "low"
0.94 0.65 4 213 2 1 0 0 "IT" "low"
0.51 0.85 4 186 2 0 0 0 "product_mng" "low"
0.7 0.98 4 194 2 0 0 0 "IT" "medium"
0.85 0.53 3 250 3 0 0 0 "IT" "medium"
0.76 0.45 5 177 6 0 0 0 "support" "medium"
0.57 0.97 4 224 4 0 0 0 "technical" "medium"
0.43 0.49 2 155 3 0 1 0 "sales" "medium"
0.41 0.69 2 152 4 1 0 0 "IT" "low"
0.48 0.47 3 160 3 0 0 0 "product_mng" "medium"
0.14 0.88 3 162 4 0 0 0 "marketing" "medium"
0.39 0.75 6 185 3 0 0 1 "management" "high"
0.11 0.8 6 306 4 0 1 0 "sales" "low"
0.39 0.52 2 134 3 0 1 0 "technical" "low"
0.71 0.72 4 137 3 0 0 0 "sales" "medium"
0.79 1 5 257 6 0 1 0 "sales" "low"
0.82 0.89 4 239 2 0 0 0 "product_mng" "medium"
0.1 0.94 6 285 4 0 1 0 "support" "medium"
0.1 0.94 7 264 4 0 1 0 "IT" "medium"
0.51 0.71 2 180 3 0 0 0 "product_mng" "low"
0.13 0.63 6 219 6 0 0 0 "marketing" "low"
0.53 0.51 4 240 2 0 0 0 "marketing" "low"
0.65 0.55 3 156 5 0 0 0 "marketing" "low"
0.89 0.51 4 141 3 0 0 0 "sales" "low"
0.42 0.55 2 146 3 0 1 0 "hr" "low"
0.77 0.48 5 262 7 0 0 0 "IT" "medium"
0.92 0.99 4 245 4 0 0 0 "IT" "medium"
0.09 0.94 6 266 4 0 1 0 "sales" "medium"
0.15 0.95 4 251 5 0 0 0 "support" "high"
0.77 0.88 2 169 3 0 0 0 "technical" "medium"
0.75 0.9 5 256 5 0 1 0 "support" "low"
0.3 0.71 3 155 2 0 0 0 "sales" "low"
0.87 0.92 3 141 2 0 0 0 "support" "medium"
0.49 0.49 3 168 7 0 0 0 "sales" "low"
0.55 0.57 4 220 3 0 0 0 "sales" "medium"
0.57 0.64 4 226 7 0 0 0 "sales" "low"
0.48 0.78 2 198 2 0 1 0 "technical" "medium"
0.38 0.55 2 148 3 0 1 0 "support" "low"
0.22 0.74 5 178 5 0 0 0 "IT" "low"
0.83 0.57 3 232 4 0 0 0 "hr" "medium"
0.66 0.4 2 155 5 1 0 0 "support" "medium"
0.59 0.63 4 153 3 1 0 0 "sales" "low"
0.7 0.8 4 183 2 0 0 0 "support" "medium"
0.81 0.81 5 250 4 0 0 1 "sales" "medium"
0.91 1 4 253 5 1 1 0 "technical" "medium"
0.09 0.86 7 309 4 0 1 0 "technical" "low"
0.57 0.64 4 151 2 0 0 0 "management" "medium"
0.47 0.43 3 120 3 0 0 0 "sales" "high"
0.51 0.62 4 185 3 0 0 0 "management" "low"
0.87 0.75 3 258 3 0 0 0 "technical" "medium"
0.4 0.36 4 128 4 0 0 0 "technical" "medium"
0.62 0.68 3 226 3 0 0 0 "technical" "medium"
0.37 0.57 2 130 3 0 1 0 "sales" "low"
0.89 0.81 4 228 4 0 0 0 "IT" "high"
0.74 0.73 3 156 8 0 0 0 "management" "medium"
0.75 0.55 3 253 6 0 0 0 "IT" "medium"
0.44 0.56 2 131 3 0 1 0 "hr" "medium"
0.76 0.94 3 189 3 0 0 0 "sales" "medium"
0.11 0.83 6 306 4 0 1 0 "support" "low"
0.8 0.96 3 161 3 0 0 0 "technical" "low"
0.49 0.48 4 247 3 0 0 0 "RandD" "medium"
0.45 0.6 6 176 4 0 0 0 "sales" "medium"
0.81 0.78 3 165 3 0 0 0 "technical" "high"
0.92 0.69 3 192 3 0 0 0 "accounting" "medium"
0.45 0.46 2 128 3 0 1 0 "sales" "low"
0.79 0.89 5 239 5 0 1 0 "sales" "low"
0.98 0.62 3 203 2 0 0 0 "accounting" "medium"
0.87 0.9 5 258 5 0 1 0 "support" "low"
0.15 0.69 6 213 6 0 0 0 "sales" "low"
0.09 0.78 6 254 4 0 1 0 "support" "low"
0.58 0.69 4 223 4 0 0 0 "sales" "low"
0.37 0.45 2 126 3 0 1 0 "support" "medium"
0.65 0.83 5 182 2 1 0 0 "IT" "low"
0.91 0.96 4 232 5 0 1 0 "sales" "low"
0.81 0.83 3 133 3 1 0 0 "IT" "medium"
0.4 0.5 2 127 3 0 1 0 "IT" "low"
0.42 0.44 3 183 2 0 0 0 "product_mng" "medium"
0.48 0.54 3 190 3 0 0 0 "technical" "medium"
0.97 0.81 3 249 2 0 0 0 "sales" "low"
0.49 0.63 6 265 3 0 1 0 "technical" "low"
0.61 1 5 243 2 0 0 0 "technical" "medium"
0.33 0.41 2 198 4 0 0 0 "technical" "medium"
0.77 0.75 4 225 3 0 0 0 "hr" "low"
0.91 0.75 3 166 2 0 0 0 "IT" "low"
0.14 0.79 5 163 6 0 0 0 "RandD" "low"
0.77 0.87 5 257 2 0 0 0 "product_mng" "medium"
0.11 0.79 6 281 4 0 1 0 "support" "medium"
0.48 0.84 3 146 2 1 0 0 "sales" "medium"
0.64 0.53 4 133 3 0 0 0 "support" "low"
0.13 0.78 6 152 2 0 1 0 "support" "low"
0.37 0.45 2 142 3 0 1 0 "IT" "low"
0.37 0.51 2 127 3 0 1 0 "sales" "medium"
0.84 0.68 4 179 3 0 0 0 "technical" "high"
0.96 0.57 3 151 2 0 0 0 "sales" "low"
0.44 0.52 2 137 3 0 1 0 "technical" "medium"
0.94 0.7 3 271 4 0 0 0 "sales" "medium"
0.99 0.86 4 206 2 0 0 0 "support" "low"
0.9 0.96 5 243 5 0 1 0 "technical" "medium"
0.29 0.57 5 134 2 0 0 1 "marketing" "medium"
0.98 0.53 5 186 3 0 0 0 "marketing" "low"
0.89 0.92 5 242 5 0 1 0 "sales" "low"
0.61 0.73 3 252 3 0 0 0 "technical" "high"
0.84 1 5 250 5 0 1 0 "sales" "low"
0.11 0.77 6 247 4 0 1 0 "technical" "medium"
0.93 0.77 5 224 2 0 0 0 "marketing" "low"
0.84 0.78 5 164 3 0 0 0 "accounting" "low"
0.65 0.63 3 137 3 0 0 0 "sales" "high"
0.87 0.84 5 216 3 1 0 0 "support" "medium"
0.24 0.6 2 194 6 0 0 0 "IT" "medium"
0.11 0.88 6 253 4 0 1 0 "support" "low"
0.6 0.53 5 103 2 0 0 0 "sales" "low"
0.21 0.9 4 271 6 0 0 0 "support" "high"
0.58 0.75 4 186 2 0 0 0 "product_mng" "low"
0.76 0.72 3 275 4 1 0 0 "sales" "medium"
0.64 0.81 2 226 2 0 0 0 "IT" "medium"
0.72 0.89 3 221 3 0 0 0 "sales" "low"
0.41 0.47 2 135 3 0 1 0 "support" "low"
0.81 0.66 3 181 2 1 0 0 "sales" "medium"
0.29 0.38 6 105 5 0 0 0 "sales" "low"
0.67 0.55 4 214 3 1 0 0 "sales" "medium"
0.69 0.93 3 233 3 0 0 0 "IT" "medium"
0.63 0.5 2 230 4 0 0 0 "sales" "medium"
0.69 0.8 5 215 3 0 0 0 "sales" "low"
0.79 0.96 4 234 5 0 1 0 "marketing" "low"
0.89 0.77 5 232 3 0 0 0 "sales" "low"
0.67 0.91 3 147 3 0 0 0 "technical" "medium"
0.77 0.74 5 263 2 0 0 0 "sales" "medium"
0.78 0.63 4 181 2 0 0 0 "sales" "medium"
0.52 0.52 4 168 3 0 0 0 "product_mng" "medium"
0.98 0.74 4 202 3 0 0 0 "accounting" "low"
0.67 0.65 3 265 3 0 0 0 "product_mng" "medium"
0.11 0.92 7 255 4 0 1 0 "support" "medium"
0.91 0.83 4 235 3 0 0 0 "technical" "low"
0.4 0.52 2 155 3 0 1 0 "marketing" "low"
0.93 0.66 4 228 3 0 0 0 "RandD" "low"
0.49 0.36 2 192 3 0 0 0 "sales" "low"
0.83 0.78 3 257 2 0 0 0 "sales" "low"
0.75 0.66 5 234 2 0 0 0 "management" "high"
0.78 0.98 4 157 3 0 0 0 "marketing" "medium"
0.93 0.84 3 159 3 0 0 0 "technical" "high"
0.2 0.94 6 191 5 0 0 0 "support" "low"
0.98 0.5 3 198 3 0 0 0 "marketing" "medium"
0.77 0.74 2 187 6 0 0 0 "RandD" "medium"
0.97 0.88 5 173 3 0 0 0 "RandD" "low"
0.15 0.75 3 259 8 1 0 0 "marketing" "high"
0.81 0.95 5 238 6 0 1 0 "technical" "low"
0.83 0.68 4 273 2 0 0 0 "sales" "low"
0.09 0.94 6 257 4 0 1 0 "sales" "low"
0.68 0.59 3 141 3 0 0 0 "product_mng" "medium"
0.81 0.68 3 151 3 0 0 0 "accounting" "low"
0.52 0.69 3 144 3 0 0 0 "sales" "medium"
0.91 0.85 3 248 3 0 0 0 "sales" "medium"
0.82 0.63 3 171 3 0 0 0 "sales" "medium"
0.75 0.99 2 237 5 1 0 0 "product_mng" "low"
0.54 0.92 4 228 3 0 0 1 "marketing" "medium"
0.66 0.56 4 141 4 0 0 0 "support" "medium"
0.43 0.56 2 133 3 0 1 0 "RandD" "low"
0.61 0.42 3 104 2 0 0 0 "hr" "medium"
0.92 0.84 3 220 3 1 0 0 "technical" "high"
0.77 0.98 5 259 6 0 1 0 "product_mng" "low"
0.87 0.59 5 154 3 0 0 0 "support" "low"
0.66 0.62 4 241 3 0 0 0 "sales" "medium"
0.37 0.47 2 148 3 0 1 0 "hr" "low"
0.86 0.87 3 197 4 1 0 0 "support" "medium"
0.63 0.61 6 118 2 0 0 0 "IT" "low"
0.68 0.79 4 273 4 0 0 0 "product_mng" "low"
0.11 0.9 7 247 4 0 1 0 "sales" "medium"
0.76 0.88 4 206 4 0 1 0 "hr" "medium"
0.69 0.69 4 167 3 1 0 0 "support" "low"
0.95 0.48 4 225 3 0 0 0 "sales" "medium"
0.55 0.73 4 201 3 0 0 0 "sales" "low"
0.77 0.82 4 134 3 0 0 1 "sales" "low"
0.59 0.77 3 272 8 0 0 0 "management" "high"
0.45 0.56 2 146 3 0 1 0 "technical" "medium"
0.54 0.81 5 195 4 0 0 0 "management" "medium"
0.69 0.97 4 264 3 0 0 0 "technical" "low"
0.71 0.76 3 134 3 1 0 0 "support" "low"
0.95 0.67 4 270 4 0 0 0 "support" "medium"
0.49 0.85 4 238 2 0 0 0 "hr" "medium"
0.54 0.41 3 175 3 0 0 0 "sales" "medium"
0.76 0.87 5 262 5 0 1 0 "support" "low"
0.56 0.66 4 264 3 0 0 0 "sales" "low"
0.95 0.78 5 246 3 0 0 0 "support" "low"
0.69 0.7 3 212 2 0 0 0 "product_mng" "medium"
0.71 0.78 4 227 2 0 0 0 "support" "low"
0.11 0.8 6 282 4 0 1 0 "technical" "medium"
0.54 0.75 4 199 2 0 0 0 "management" "medium"
0.43 0.71 3 186 2 0 0 0 "accounting" "medium"
0.93 0.94 4 188 3 0 0 0 "support" "medium"
0.73 0.48 3 211 7 0 0 0 "sales" "medium"
0.58 0.51 2 100 2 0 0 0 "product_mng" "low"
0.76 0.98 4 237 5 0 1 0 "sales" "low"
0.91 0.49 3 267 3 0 0 0 "IT" "medium"
0.5 0.54 4 165 3 0 0 0 "accounting" "low"
0.11 0.78 7 278 4 0 1 0 "sales" "low"
0.52 0.57 4 183 3 0 0 0 "RandD" "low"
0.2 0.97 4 237 5 0 0 0 "IT" "medium"
0.47 0.5 4 254 4 0 1 0 "sales" "low"
0.75 0.93 5 210 3 0 0 0 "support" "medium"
0.81 0.81 4 177 3 0 0 0 "RandD" "medium"
0.53 0.96 4 272 2 0 0 0 "support" "low"
0.67 0.55 4 256 6 0 0 0 "hr" "low"
0.48 0.61 3 223 3 1 0 0 "support" "medium"
0.93 0.65 4 258 3 0 0 0 "support" "medium"
0.73 0.87 5 257 5 0 1 0 "IT" "low"
0.46 0.52 2 148 3 0 1 0 "RandD" "low"
0.87 0.62 5 197 2 0 0 0 "sales" "low"
0.34 0.76 6 237 5 0 0 0 "support" "high"
0.98 0.84 4 182 3 0 0 0 "sales" "medium"
0.68 0.49 3 178 3 1 0 0 "RandD" "low"
0.11 0.91 6 278 4 0 1 0 "marketing" "low"
0.21 0.84 3 194 2 0 0 0 "IT" "medium"
0.21 0.69 3 144 6 1 0 0 "IT" "low"
0.5 0.61 4 135 3 0 0 0 "accounting" "medium"
0.38 0.74 3 159 4 0 0 0 "technical" "medium"
0.38 0.49 2 140 3 0 1 0 "sales" "medium"
0.59 0.59 3 194 2 1 0 0 "support" "medium"
0.77 0.61 4 181 2 0 0 0 "support" "low"
0.44 0.53 2 154 3 0 1 0 "IT" "low"
0.93 0.88 5 140 3 0 0 0 "RandD" "high"
0.52 0.96 6 166 5 1 0 0 "technical" "medium"
0.76 0.86 5 223 5 1 1 0 "product_mng" "medium"
0.64 0.5 4 253 10 0 0 1 "management" "high"
0.11 0.97 6 254 4 0 1 0 "accounting" "high"
0.51 0.81 3 143 2 0 0 0 "hr" "low"
0.82 0.63 5 177 3 0 0 0 "IT" "low"
0.95 0.67 3 153 2 0 0 0 "sales" "low"
0.64 0.71 3 181 2 0 0 0 "technical" "low"
0.87 0.88 5 269 5 0 1 0 "technical" "low"
0.63 0.83 6 242 5 0 1 0 "accounting" "low"
0.1 0.95 6 244 5 0 1 0 "IT" "medium"
0.38 0.46 2 155 3 0 1 0 "sales" "low"
0.37 0.52 2 159 3 0 1 0 "sales" "low"
0.43 0.56 2 157 3 0 1 0 "sales" "low"
0.46 0.41 6 148 4 0 0 0 "sales" "low"
0.77 0.94 5 226 6 0 1 0 "support" "low"
0.5 0.89 3 187 4 1 0 0 "sales" "medium"
0.7 0.69 4 158 3 0 0 0 "IT" "low"
0.23 0.37 3 247 4 0 0 0 "hr" "medium"
0.38 0.52 2 153 3 0 1 0 "support" "low"
0.14 0.58 4 275 10 0 0 0 "sales" "medium"
0.82 0.85 5 248 5 0 1 0 "sales" "low"
0.78 0.78 4 260 5 0 1 0 "RandD" "low"
0.23 0.8 5 139 3 0 0 0 "support" "medium"
0.39 0.75 5 286 5 0 0 0 "IT" "low"
0.83 0.55 3 271 7 0 0 0 "sales" "medium"
0.53 0.41 2 148 2 1 0 0 "sales" "medium"
0.98 0.91 3 188 4 0 0 0 "accounting" "medium"
0.43 0.53 2 131 3 0 1 0 "IT" "low"
0.65 0.37 3 170 6 0 0 0 "IT" "low"
0.82 0.58 4 202 2 0 0 0 "RandD" "medium"
0.43 0.52 2 154 3 1 1 0 "product_mng" "medium"
0.41 0.5 2 153 3 0 1 0 "technical" "medium"
0.66 0.86 5 185 3 0 0 0 "IT" "low"
0.88 0.96 4 262 3 0 0 0 "sales" "medium"
0.84 0.92 4 234 5 0 1 0 "sales" "low"
0.32 0.66 5 116 5 1 0 0 "technical" "high"
0.96 0.92 3 182 4 0 0 0 "sales" "low"
0.32 0.81 2 249 3 0 0 0 "accounting" "low"
0.75 0.92 3 160 3 1 0 0 "technical" "medium"
0.66 0.36 3 256 6 0 0 0 "support" "medium"
0.73 0.69 3 228 2 0 0 1 "sales" "medium"
0.81 0.69 5 109 2 0 0 0 "IT" "high"
0.09 0.82 6 249 4 0 1 0 "technical" "medium"
0.18 0.7 5 182 4 0 0 0 "technical" "low"
0.98 0.91 3 165 2 1 0 0 "hr" "medium"
0.77 0.87 4 242 6 0 1 0 "sales" "low"
0.6 0.62 5 274 3 0 0 0 "management" "medium"
0.54 1 3 169 2 0 0 0 "support" "medium"
0.58 0.54 3 287 6 0 0 0 "technical" "medium"
0.32 0.95 5 172 2 0 1 0 "sales" "low"
0.97 0.58 4 159 3 0 0 0 "technical" "low"
0.38 0.54 2 128 3 0 1 0 "technical" "low"
0.54 0.48 3 275 2 0 0 0 "sales" "high"
0.69 0.74 4 266 2 1 0 0 "support" "low"
0.74 0.98 3 196 6 1 0 0 "support" "low"
0.57 0.9 5 145 3 0 0 0 "accounting" "low"
0.95 0.43 6 283 2 0 0 0 "technical" "low"
0.31 0.63 4 104 7 1 0 0 "sales" "medium"
0.61 0.68 3 254 2 0 0 0 "accounting" "low"
0.68 0.78 5 233 3 0 0 0 "technical" "high"
0.43 0.5 2 137 3 0 1 0 "support" "medium"
0.1 0.89 7 285 4 0 1 0 "technical" "low"
0.79 1 4 229 5 1 1 0 "management" "medium"
0.43 0.49 2 135 3 0 1 0 "sales" "medium"
0.92 0.77 5 191 2 0 0 0 "technical" "medium"
0.39 0.51 2 132 3 0 1 0 "support" "medium"
0.66 0.8 4 183 2 1 0 0 "technical" "medium"
0.92 0.49 5 178 2 1 0 0 "RandD" "medium"
0.86 0.81 4 179 3 0 0 0 "sales" "medium"
0.87 1 5 242 5 0 1 0 "sales" "low"
0.42 0.51 2 136 3 0 1 0 "technical" "medium"
0.37 0.52 2 159 3 0 1 0 "sales" "low"
0.98 0.87 4 152 2 0 0 0 "sales" "high"
0.15 0.93 4 185 5 0 0 0 "hr" "low"
0.42 0.85 3 150 3 0 0 0 "sales" "low"
0.66 0.67 2 255 3 0 1 0 "technical" "low"
0.1 0.84 6 309 4 0 1 0 "support" "low"
0.92 0.66 3 230 3 0 0 0 "technical" "high"
0.81 0.92 5 259 3 0 0 0 "IT" "low"
0.77 0.98 3 286 6 0 0 0 "management" "high"
0.79 0.51 4 237 2 0 0 0 "IT" "low"
0.46 0.73 6 256 4 0 0 0 "product_mng" "high"
0.6 0.58 3 201 3 0 0 0 "sales" "medium"
0.54 0.52 3 115 3 0 0 0 "accounting" "low"
0.65 0.55 5 261 3 1 0 0 "technical" "medium"
0.79 0.5 4 252 3 1 0 0 "hr" "medium"
0.9 0.48 4 136 7 0 0 0 "IT" "low"
0.88 0.6 4 224 2 0 0 0 "sales" "low"
0.57 0.72 4 275 6 0 1 0 "technical" "medium"
0.41 0.51 2 144 3 0 1 0 "RandD" "low"
0.46 0.5 2 157 3 0 1 0 "IT" "low"
0.44 0.58 2 157 2 0 0 0 "sales" "low"
0.98 0.66 3 150 3 0 0 0 "hr" "medium"
0.5 0.78 6 138 3 0 0 0 "sales" "medium"
0.78 0.64 3 169 2 1 0 0 "technical" "medium"
0.79 0.61 5 96 4 0 0 0 "marketing" "medium"
0.61 0.62 2 192 2 1 0 0 "support" "low"
0.21 0.61 6 159 5 1 0 0 "accounting" "medium"
0.86 0.56 5 237 3 0 0 0 "technical" "low"
0.44 0.54 3 115 3 0 0 0 "IT" "medium"
0.5 0.95 5 137 3 0 0 0 "sales" "medium"
0.96 0.71 3 205 8 1 0 0 "management" "medium"
0.86 0.7 4 197 3 0 0 0 "sales" "medium"
0.1 0.78 5 285 4 1 1 0 "RandD" "medium"
0.14 0.75 4 277 5 1 1 0 "sales" "medium"
0.49 0.55 2 173 3 0 0 0 "technical" "medium"
0.62 0.73 3 245 4 0 0 0 "IT" "low"
0.68 0.51 5 158 3 0 0 0 "technical" "medium"
0.23 0.77 4 140 5 0 0 0 "accounting" "medium"
0.4 0.51 2 156 3 0 1 0 "sales" "medium"
0.5 0.51 3 169 4 0 0 0 "marketing" "low"
0.9 0.64 4 139 3 1 0 0 "management" "medium"
0.72 0.53 5 244 4 0 0 0 "sales" "medium"
0.81 0.76 5 134 2 0 0 0 "technical" "low"
0.49 0.66 3 155 3 0 0 1 "sales" "low"
0.42 0.47 2 159 3 0 1 0 "marketing" "low"
0.75 1 4 272 4 1 0 0 "IT" "medium"
0.98 0.92 4 175 2 0 0 0 "IT" "medium"
0.73 0.94 4 213 3 1 0 0 "marketing" "medium"
0.77 0.64 3 254 3 0 0 0 "accounting" "medium"
0.66 0.78 4 161 6 0 0 0 "IT" "low"
0.51 0.83 5 249 4 0 1 0 "technical" "medium"
